Code,Title,Dept,Level,A,B,C,D,F,FX,Pass,Not pass,IP,W,Total,#VALUE!,Gender,Semester,Year,teacher_id
INF 360,IT-law,ENG,0,17,21,18,33,1,18,0,0,0,1,109,15.6%   19.3%   16.5%   30.3%   17.4%,0,2,2021,138
LAW 524,Scientific Research Work ,LAW,0,0,0,0,0,0,0,13,3,0,0,16,0%   0%   0%   0%   0%,0,2,2021,138
LAW 550,Copyright in the digital age,LAW,0,8,2,5,2,0,3,0,0,0,0,20,40%   10%   25%   10%   15%,0,2,2021,138
MDE 107,Foreign Language 1 (General English - A1 level),LAW,0,1,6,17,15,3,2,0,0,0,0,44,2.3%   13.6%   38.6%   34.1%   11.4%,0,2,2021,307
MDE 107,Foreign Language 1 (General English - A1 level),PED,0,1,6,17,15,3,2,0,0,0,0,44,2.3%   13.6%   38.6%   34.1%   11.4%,0,2,2021,307
PED 129,Mathematical Analysis 1,PED,0,15,41,19,4,0,1,0,0,0,0,80,18.8%   51.3%   23.8%   5%   1.3%,0,2,2021,236
PED 131,Mathematical analysis 3,PED,0,4,29,22,9,0,3,0,0,0,0,67,6%   43.3%   32.8%   13.4%   4.5%,0,2,2021,236
PED 318,Ordinary Differential Equations,PED,0,4,9,11,7,1,2,0,0,0,0,34,11.8%   26.5%   32.4%   20.6%   8.8%,0,2,2021,236
PED 327,Mathematical statistics,PED,0,3,4,16,7,1,2,0,0,0,0,33,9.1%   12.1%   48.5%   21.2%   9.1%,0,2,2021,236
MDE 131,Turkish Language 1 (А1 level),MDE,0,41,68,15,2,0,3,0,0,0,0,129,31.8%   52.7%   11.6%   1.6%   2.3%,0,2,2021,200
MAT 251,Probability and Mathematical Statictics,BS,0,17,30,44,33,7,17,0,0,0,0,148,11.5%   20.3%   29.7%   22.3%   16.2%,0,2,2021,162
FFA 221,Highlights of British and American Literature,PED,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,2,2021,67
TFL 129,Reading and Writing 1,PED,0,14,28,20,1,0,1,0,0,0,0,64,21.9%   43.8%   31.3%   1.6%   1.6%,0,2,2021,67
MDE 131,Turkish Language 1 (А1 level),MDE,1,27,4,0,0,0,0,0,0,0,0,31,87.1%   12.9%   0%   0%   0%,0,2,2021,201
MDE 133,Turkish Language 3 (А2 level),MDE,1,51,23,3,1,0,5,0,0,0,0,83,61.4%   27.7%   3.6%   1.2%   6%,0,2,2021,201
MDE 135,Turkish Language 1 (B1 level),MDE,1,23,6,0,0,0,0,0,0,0,0,29,79.3%   20.7%   0%   0%   0%,0,2,2021,201
MDE 171,Modern History of Kazakhstan,PED,0,1,20,0,0,0,0,0,0,0,0,21,4.8%   95.2%   0%   0%   0%,0,2,2021,308
TFL 129,Reading and Writing 1,PED,0,14,13,0,0,0,0,0,0,0,0,27,51.9%   48.1%   0%   0%   0%,1,2,2021,272
CSS 623,Information Security,ENG,0,26,0,0,0,0,0,0,0,0,0,26,100%   0%   0%   0%   0%,0,2,2021,13
HIS 403,Sociology of History,LAW,1,11,9,1,0,0,1,0,0,0,0,22,50%   40.9%   4.5%   0%   4.5%,0,2,2021,69
HIS 427,History of the Kazakh Diaspora,LAW,1,12,5,1,0,0,0,0,0,0,0,18,66.7%   27.8%   5.6%   0%   0%,0,2,2021,69
HIS 434,Turkish Islamic History,LAW,1,11,6,1,0,0,0,0,0,0,0,18,61.1%   33.3%   5.6%   0%   0%,0,2,2021,69
LAW 121,Fundamentals of civil law,LAW,0,4,14,12,11,1,9,0,0,0,0,51,7.8%   27.5%   23.5%   21.6%   19.6%,0,2,2021,123
LAW 128,Fundamentals of legal thinking and methodology,LAW,0,7,12,9,17,0,8,0,0,0,0,53,13.2%   22.6%   17%   32.1%   15.1%,0,2,2021,123
LAW 270,Educational practice,LAW,0,22,16,3,1,0,0,0,0,0,0,42,52.4%   38.1%   7.1%   2.4%   0%,0,2,2021,123
LAW 271,Law of Obligation 1,LAW,0,17,21,14,12,1,2,0,0,0,0,67,25.4%   31.3%   20.9%   17.9%   4.5%,0,2,2021,123
INF 423,Statistics and Visualization for Data Analysis,ENG,0,15,11,10,5,4,6,0,0,0,0,51,29.4%   21.6%   19.6%   9.8%   19.6%,1,2,2021,309
ECO 109,Principles of Economics,BS,1,17,52,41,44,20,28,0,0,0,0,202,8.4%   25.7%   20.3%   21.8%   23.8%,1,2,2021,44
CSS 516,Research Tools and Methods,ENG,1,14,5,0,0,0,7,0,0,0,0,26,53.8%   19.2%   0%   0%   26.9%,1,2,2021,29
