Code,Subject,Dept,Level,A,B,C,D,FX,F,Pass,Not Pass,IP,W,Total,%,Gender,Semester,Year,teacher_id
ACC 207,Principles of Accounting,BS,0,3,15,35,12,4,17,0,0,0,6,92,3.3%   16.3%   38%   13%   22.8%,1,1,2023,61
ACC 207,Principles of Accounting,BS,0,32,31,22,28,4,27,0,0,0,7,151,21.2%   20.5%   14.6%   18.5%   20.5%,1,1,2023,62
ACC 302,Audit and Assurance (ACCA),BS,0,0,13,25,9,0,4,0,0,0,0,51,0%   25.5%   49%   17.6%   7.8%,1,1,2023,539
ACC 302,Audit and Assurance (ACCA),BS,0,19,18,32,15,5,9,0,0,0,0,98,19.4%   18.4%   32.7%   15.3%   14.3%,0,1,2023,498
ACC 303,Taxation (ACCA),BS,0,23,30,36,34,0,9,0,0,0,2,134,17.2%   22.4%   26.9%   25.4%   6.7%,1,1,2023,499
ACC 403,Financial Statement Analysis (ACCA),BS,0,14,32,44,25,0,6,0,0,0,0,121,11.6%   26.4%   36.4%   20.7%   5%,1,1,2023,539
ACC 407,Enterprise Resource Planning,BS,0,23,44,12,12,0,6,0,0,0,0,97,23.7%   45.4%   12.4%   12.4%   6.2%,1,1,2023,540
ACC 407,Enterprise Resource Planning,BS,0,20,28,7,0,0,3,0,0,0,0,58,34.5%   48.3%   12.1%   0%   5.2%,0,1,2023,338
ACC 407,Enterprise Resource Planning,BS,1,19,18,8,3,0,3,0,0,0,0,51,37.3%   35.3%   15.7%   5.9%   5.9%,0,1,2023,49
CSS 105,Fundamentals of Programming,ENG,0,18,19,18,10,4,10,0,0,0,0,79,22.8%   24.1%   22.8%   12.7%   17.7%,0,1,2023,414
CSS 105,Fundamentals of Programming,ENG,0,38,71,116,54,27,29,0,0,0,3,338,11.2%   21%   34.3%   16%   16.6%,0,1,2023,381
CSS 105,Fundamentals of Programming,ENG,0,14,33,29,26,8,17,0,0,0,0,127,11%   26%   22.8%   20.5%   19.7%,1,1,2023,25
CSS 105,Fundamentals of Programming,ENG,0,8,16,17,15,2,5,0,0,0,1,64,12.5%   25%   26.6%   23.4%   10.9%,1,1,2023,380
CSS 108,Programming Technologies and Educational Practice,ENG,0,0,1,5,10,2,14,0,0,0,3,35,0%   2.9%   14.3%   28.6%   45.7%,0,1,2023,541
CSS 109,Calculus 1,ENG,1,25,31,24,24,14,18,0,0,0,0,136,18.4%   22.8%   17.6%   17.6%   23.5%,1,1,2023,172
CSS 109,Calculus 1,ENG,0,5,8,21,13,6,6,0,0,0,0,59,8.5%   13.6%   35.6%   22%   20.3%,1,1,2023,259
CSS 112,Physics 1,ENG,0,6,18,10,0,1,0,0,0,0,0,35,17.1%   51.4%   28.6%   0%   2.9%,0,1,2023,368
CSS 206,Database Management Systems 1,ENG,0,14,20,23,23,21,21,0,0,0,1,123,11.4%   16.3%   18.7%   18.7%   34.1%,1,1,2023,542
CSS 206,Database Management Systems 1,ENG,0,5,24,16,7,1,7,0,0,0,0,60,8.3%   40%   26.7%   11.7%   13.3%,1,1,2023,73
CSS 214,Introduction to iOS Programming,ENG,0,5,8,6,4,2,7,0,0,0,1,33,15.2%   24.2%   18.2%   12.1%   27.3%,0,1,2023,543
CSS 214,Introduction to iOS Programming,ENG,0,28,9,6,3,0,17,0,0,0,1,64,43.8%   14.1%   9.4%   4.7%   26.6%,0,1,2023,327
CSS 215,Introduction to Algorithms,ENG,1,15,32,21,27,24,27,0,0,0,4,150,10%   21.3%   14%   18%   34%,0,1,2023,544
CSS 215,Introduction to Algorithms,ENG,1,120,129,65,0,3,27,0,0,0,12,356,33.7%   36.2%   18.3%   0%   8.4%,0,1,2023,545
CSS 216,Mobile Programming,ENG,0,25,23,11,7,6,11,0,0,0,0,83,30.1%   27.7%   13.3%   8.4%   20.5%,0,1,2023,384
CSS 220,Advanced Algorithms,ENG,0,109,74,14,4,0,3,0,0,0,0,204,53.4%   36.3%   6.9%   2%   1.5%,0,1,2023,7
CSS 223,C# Object Oriented Programming,ENG,0,27,29,8,4,2,5,0,0,0,0,75,36%   38.7%   10.7%   5.3%   9.3%,1,1,2023,546
CSS 250,Electronics,ENG,0,0,8,11,7,0,2,0,0,0,3,31,0%   25.8%   35.5%   22.6%   6.5%,1,1,2023,386
CSS 251,Physics 2,ENG,0,3,8,10,6,1,2,0,0,0,1,31,9.7%   25.8%   32.3%   19.4%   9.7%,1,1,2023,6
CSS 280,Industrial practice 1,ENG,0,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,1,2023,20
CSS 303,Foundations of Information and Cyber Security,ENG,0,14,8,2,0,0,2,0,0,0,0,26,53.8%   30.8%   7.7%   0%   7.7%,0,1,2023,547
CSS 312,Computer Networks 1,ENG,0,1,8,3,12,7,33,0,0,0,6,70,1.4%   11.4%   4.3%   17.1%   57.1%,0,1,2023,409
CSS 324,Introduction to Machine Learning,ENG,0,24,23,13,8,3,9,0,0,0,5,85,28.2%   27.1%   15.3%   9.4%   14.1%,0,1,2023,3
CSS 327,Introduction to Android Programming,ENG,0,18,8,8,7,0,4,0,0,0,1,46,39.1%   17.4%   17.4%   15.2%   8.7%,0,1,2023,548
CSS 328,Introduction to Data Analysis,ENG,1,67,53,27,14,1,20,0,0,0,1,183,36.6%   29%   14.8%   7.7%   11.5%,1,1,2023,30
CSS 332,Full-stack project development,ENG,0,40,14,4,8,0,1,0,0,0,0,67,59.7%   20.9%   6%   11.9%   1.5%,0,1,2023,417
CSS 341,Computer organization and architecture,ENG,1,49,33,41,11,0,11,0,0,0,2,147,33.3%   22.4%   27.9%   7.5%   7.5%,0,1,2023,14
CSS 346,FPGA Programming,ENG,1,7,7,6,1,0,5,0,0,0,0,26,26.9%   26.9%   23.1%   3.8%   19.2%,1,1,2023,18
CSS 356,Introduction to IoT,ENG,0,1,7,3,6,1,10,0,0,0,1,29,3.4%   24.1%   10.3%   20.7%   37.9%,0,1,2023,31
CSS 382,Industrial practice 1,ENG,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,1,2023,549
CSS 399,Applied AI,ENG,0,11,0,6,2,0,1,0,0,0,0,20,55%   0%   30%   10%   5%,0,1,2023,3
CSS 410,Research tools and methods,ENG,1,19,17,14,15,0,23,0,0,0,0,88,21.6%   19.3%   15.9%   17%   26.1%,1,1,2023,18
CSS 410,Research tools and methods,ENG,1,13,40,16,10,0,15,0,0,0,0,94,13.8%   42.6%   17%   10.6%   16%,1,1,2023,17
CSS 410,Research tools and methods,ENG,1,10,31,3,1,0,5,0,0,0,0,50,20%   62%   6%   2%   10%,1,1,2023,500
CSS 410,Research tools and methods,ENG,0,26,15,6,0,0,3,0,0,0,0,50,52%   30%   12%   0%   6%,1,1,2023,419
CSS 410,Research tools and methods,ENG,0,10,13,3,3,0,10,0,0,0,0,39,25.6%   33.3%   7.7%   7.7%   25.6%,1,1,2023,87
CSS 410,Research tools and methods,ENG,1,23,30,31,8,1,5,0,0,0,0,98,23.5%   30.6%   31.6%   8.2%   6.1%,1,1,2023,24
CSS 410,Research tools and methods,ENG,0,3,2,14,9,7,20,0,0,0,2,57,5.3%   3.5%   24.6%   15.8%   47.4%,0,1,2023,31
CSS 410,Research tools and methods,ENG,1,11,4,5,0,1,1,0,0,0,0,22,50%   18.2%   22.7%   0%   9.1%,0,1,2023,36
CSS 410,Research tools and methods,ENG,1,32,0,0,0,0,0,0,0,0,0,32,100%   0%   0%   0%   0%,0,1,2023,23
CSS 410,Research tools and methods,ENG,1,0,5,0,0,0,0,0,0,0,0,5,0%   100%   0%   0%   0%,1,1,2023,12
CSS 410,Research tools and methods,ENG,0,7,0,0,0,0,0,0,0,0,0,7,100%   0%   0%   0%   0%,0,1,2023,368
CSS 421,Computer Vision,ENG,0,12,32,2,4,1,3,0,0,0,0,54,22.2%   59.3%   3.7%   7.4%   7.4%,0,1,2023,550
CSS 423,Applied Artificial Intelligence,ENG,1,17,21,1,0,0,5,0,0,0,0,44,38.6%   47.7%   2.3%   0%   11.4%,0,1,2023,38
CSS 434,Business analytics,ENG,0,8,18,24,10,1,4,0,0,0,0,65,12.3%   27.7%   36.9%   15.4%   7.7%,1,1,2023,551
CSS 446,IT audit,ENG,0,16,60,27,4,0,7,0,0,0,0,114,14%   52.6%   23.7%   3.5%   6.1%,0,1,2023,331
CSS 450,Industrial project (Introduction) all,ENG,0,74,35,9,6,2,4,0,0,0,0,130,56.9%   26.9%   6.9%   4.6%   4.6%,0,1,2023,414
